ingredient_1_inci,ingredient_2_inci,interaction_type,layering_order,wait_time_minutes,time_of_day,skin_type_oily,skin_type_dry,skin_type_sensitive,skin_type_combination,skin_type_mature,skin_concern_impact,age_group,pregnancy_notes,conflict_reason,synergy_reason,application_notes
Tremella Fuciformis Extract,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|aging|texture enhanced,all,yes,,Snow mushroom polysaccharide holds 500x its weight in water; complements HA for superior multi-molecular-weight moisturization.,Layer in any order. Snow mushroom + HA is the premium Korean hydration combination.
Tremella Fuciformis Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|dryness|aging enhanced,all,yes,,Tremella deep hydration + ceramide barrier lipid matrix. Anti-aging moisture + structural barrier.,Layer in any order. Comprehensive anti-aging hydration.
Tremella Fuciformis Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|aging|barrier|brightening enhanced,all,yes,,Tremella mushroom hydration + niacinamide barrier/brightening. Both natural origin; very compatible.,Layer in any order. Natural brightening + hydration stack.
Snail Secretion Filtrate,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,acne|hyperpigmentation|barrier|redness|aging enhanced,all,consult,,Snail mucin (allantoin + glycoproteins + hyaluronic acid) repair + niacinamide barrier/brightening. One of Korean skincare's top combinations.,Layer in any order. Comprehensive repair + brightening treatment.
Snail Secretion Filtrate,Retinol,synergistic,Retinol first then Snail Mucin,0,PM,yes,yes,moderate,yes,yes,aging|texture|barrier|repair enhanced,adult|mature,no (retinol),,Snail mucin repairs and soothes retinol-irritated skin with allantoin and glycoproteins while independently supporting collagen.,"Apply retinol, then snail secretion filtrate. Significantly improves retinol tolerability."
Snail Secretion Filtrate,Glycolic Acid,synergistic,Glycolic Acid first,15,PM,yes,moderate,moderate,yes,moderate,texture|repair|dullness enhanced,adult|mature,consult (GA),,AHA exfoliation + snail mucin repair. Classic K-beauty protocol: exfoliate then allow snail mucin to repair.,"Apply AHA, wait 15 min, then snail mucin serum. Post-exfoliation repair."
Snail Secretion Filtrate,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,aging|brightening|repair enhanced,adult|mature,consult (AA),,Vitamin C brightening + snail mucin repair. Complementary anti-aging mechanisms; snail mucin also contains brightening compounds.,"Apply vitamin C serum, then snail mucin serum. Brightening + repair AM stack."
Snail Secretion Filtrate,Hyaluronic Acid,synergistic,Snail Mucin first,0,both,yes,yes,yes,yes,yes,dryness|aging|repair|barrier enhanced,all,consult,,Snail mucin contains endogenous HA; adding exogenous HA provides additional hydration depth.,Layer in any order. Very popular K-beauty hydration + repair combination.
Glutathione,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant protection enhanced,adult|mature,consult (AA),,Glutathione is the master cellular antioxidant and skin brightener via melanin pathway shift. Vitamin C regenerates oxidized glutathione and inhibits tyrosinase independently. Synergistic brightening.,"Apply vitamin C serum first, then glutathione product. Comprehensive brightening antioxidant stack."
Glutathione,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,yes,,Glutathione inhibits eumelanin pathway (shifts melanin to lighter pheomelanin); niacinamide blocks melanosome transfer. Different brightening pathways synergize.,Layer in any order. One of the most effective multi-pathway brightening combinations.
Glutathione,Alpha Arbutin,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness enhanced,all,consult (arbutin),,Glutathione melanin pathway shift + alpha arbutin tyrosinase inhibition. Triple target brightening (synthesis + pathway + transfer with niacinamide).,"Layer in any order. Multi-mechanism brightening, especially effective for PIH."
Glutathione,AHA (Glycolic Acid),neutral,AHA first,30,PM,yes,moderate,moderate,yes,yes,hyperpigmentation|texture|dullness - sequential,adult|mature,consult (GA),,AHA exfoliates surface pigmentation; glutathione inhibits new melanin formation. Complementary anti-pigmentation approaches.,"Apply AHA, wait 30 min, then glutathione serum. Exfoliation + inhibition brightening."
Glutathione,Retinol,synergistic,Retinol first,0,PM,yes,yes,moderate,yes,yes,aging|hyperpigmentation|antioxidant enhanced,adult|mature,no (retinol),,Retinol drives cell turnover to remove pigmented cells; glutathione antioxidant buffers retinol oxidative stress and brightens via melanin pathway.,Apply retinol then glutathione-containing product. Anti-aging + brightening PM combination.
Licorice Root Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|redness|barrier|dullness enhanced,all,yes,,Glabridin in licorice inhibits tyrosinase and has anti-inflammatory action; niacinamide blocks melanosome transfer. Powerful brightening duo especially for melasma.,"Layer in any order. Classic brightening combination, excellent for melasma and PIH."
Licorice Root Extract,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Licorice tyrosinase inhibitor + vitamin C antioxidant + tyrosinase inhibitor. Complementary brightening pathways.,"Apply vitamin C serum, then licorice-containing product. Enhanced brightening protocol."
Licorice Root Extract,Alpha Arbutin,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness enhanced,all,consult (arbutin),,Licorice glabridin + alpha arbutin both inhibit tyrosinase via different binding sites. Additive brightening effect.,"Layer in any order. Multi-site tyrosinase inhibition, highly effective for stubborn pigmentation."
Licorice Root Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|barrier|redness enhanced,all,yes,,Licorice anti-inflammatory brightening + ceramide barrier repair. Excellent for redness-associated hyperpigmentation.,Layer in any order. Anti-inflammatory brightening + barrier combination.
Licorice Root Extract,Retinol,synergistic,Retinol first,0,PM,yes,yes,moderate,yes,yes,aging|hyperpigmentation enhanced,adult|mature,no (retinol),,Retinol cell turnover removes hyperpigmented cells; licorice inhibits new melanin and reduces inflammation from retinol.,"Apply retinol, then licorice-containing moisturizer. Brightening + anti-aging PM."
Licorice Root Extract,Azelaic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|redness|acne enhanced,all,yes (AA),,Licorice anti-inflammatory + azelaic acid anti-inflammatory + tyrosinase inhibitor. Both excellent for rosacea-associated hyperpigmentation.,Layer in any order. Excellent for inflammatory hyperpigmentation and rosacea.
Galactomyces Ferment Filtrate,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|pores|barrier|texture enhanced,all,consult,,Galactomyces (SK-II pitera) is a yeast ferment rich in vitamins and minerals that brightens texture; niacinamide adds barrier/melanosome transfer inhibition. Top K-beauty brightening combination.,Layer in any order. Iconic brightening combination in Korean skincare.
Galactomyces Ferment Filtrate,Hyaluronic Acid,synergistic,Galactomyces first,0,both,yes,yes,yes,yes,yes,dullness|dryness|texture|brightening enhanced,all,consult,,Galactomyces essence provides vitamins and phytic acid for brightening; HA adds moisture. Standard J/K beauty essence + serum layering.,"Apply galactomyces essence, then HA serum. Classic multi-step layering."
Galactomyces Ferment Filtrate,Retinol,neutral,separate AM/PM,0,use separately,moderate,moderate,moderate,moderate,yes,aging|brightening - sequential routines,adult|mature,no (retinol),Ferments work best without retinol pH/activity interference. Separate routines maximize each.,Galactomyces AM for brightness; retinol PM for anti-aging. Excellent combined approach.,Galactomyces AM routine; retinol PM routine. Best separately.
Galactomyces Ferment Filtrate,Ceramide NP,synergistic,Galactomyces first,0,both,yes,yes,yes,yes,yes,dullness|barrier|texture|redness enhanced,all,consult,,Galactomyces ferment brightens and supports skin microbiome; ceramides seal and rebuild barrier. Complementary texture refinement.,"Apply galactomyces toner/essence, then ceramide serum or moisturizer."
Galactomyces Ferment Filtrate,Alpha Arbutin,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|texture enhanced,all,consult,,Galactomyces phytic acid + alpha arbutin tyrosinase inhibition. Combined ferment biodiversity brightening + active brightening.,Layer in any order. Texture + targeted brightening.
Beta Arbutin,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult (arbutin),,Beta arbutin (hydroquinone glucoside) tyrosinase inhibitor + niacinamide melanosome transfer blocker. Two main brightening sinks targeted.,"Layer in any order. Effective brightening combination, though alpha arbutin is more potent."
Beta Arbutin,Ascorbic Acid,caution,Vitamin C first,0,AM,yes,moderate,caution,yes,yes,hyperpigmentation|dullness - watch stability,adult|mature,consult both,Beta arbutin may slightly hydrolyze to hydroquinone at low pH of vitamin C. Monitor for irritation.,Both brightening though concern about hydroquinone release at acidic pH.,"Use separate products. Apply Vitamin C first, then beta arbutin product at neutral pH."
Beta Arbutin,AHA (Glycolic Acid),neutral,AHA first,30,PM,yes,moderate,caution,yes,moderate,hyperpigmentation|texture - sequential,adult|mature,consult (GA),Beta arbutin may partially hydrolyze at low pH; apply separately after pH normalizes.,AHA removes pigmented surface cells; arbutin inhibits new formation.,"Apply AHA, allow 30 min for pH rise, then beta arbutin product."
Beta Arbutin,Retinol,neutral,Retinol first,0,PM,moderate,moderate,moderate,moderate,yes,aging|hyperpigmentation - use sequentially,adult|mature,no (retinol),Minimal conflict. Both can be used in PM routine with proper sequencing.,Retinol turnover + arbutin inhibition: combined approach to hyperpigmentation.,Apply retinol then arbutin-containing moisturizer. Effective anti-aging + brightening.
Beta Arbutin,Alpha Arbutin,synergistic,either,0,both,yes,yes,moderate,yes,yes,hyperpigmentation|dullness enhanced,all,consult both,,Both tyrosinase inhibitors via hydroquinone glucosides. Alpha arbutin (more stable) + beta arbutin additive tyrosinase inhibition.,Layer in any order. Complementary arbutin combination though using both together is unusual.
Kojic Acid,Niacinamide,synergistic,either,0,both,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult (KA),,Kojic acid tyrosinase inhibitor (copper chelation) + niacinamide melanosome transfer blocker. Complementary brightening pathways.,"Layer in any order. Effective brightening combination, widely used in Asian skincare."
Kojic Acid,AHA (Glycolic Acid),synergistic,Glycolic Acid first,15,PM,yes,moderate,caution,yes,moderate,hyperpigmentation|texture|dullness enhanced,adult|mature,consult both,None – both can be used sequentially as AHA clears surface,AHA removes pigmented cells; kojic acid inhibits new melanin. Comprehensive brightening.,"Apply AHA, wait 15 min, then kojic acid product. Complete anti-pigmentation protocol."
Kojic Acid,Retinol,neutral,Retinol first,0,PM,moderate,moderate,caution,moderate,yes,aging|hyperpigmentation - sequential,adult|mature,no (retinol),Some irritation concern stacking two sensitizing ingredients; start slowly.,Retinol drives cell renewal; kojic acid inhibits new melanin. Complementary.,Apply retinol then kojic acid product. Introduce slowly; monitor for irritation.
Kojic Acid,Alpha Arbutin,synergistic,either,0,both,yes,yes,moderate,yes,yes,hyperpigmentation|dullness enhanced,all,consult both,,Kojic acid copper chelation + alpha arbutin tyrosinase competition. Different tyrosinase inhibition mechanisms stack.,Layer in any order. Multi-mechanism tyrosinase inhibition; used in Melanex and brightening formulas.
Kojic Dipalmitate,Niacinamide,synergistic,either,0,both,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult (KDA),,Kojic dipalmitate (stable oil-soluble kojic derivative) tyrosinase inhibitor + niacinamide melanosome blocker. Stable combination without purity concerns of pure kojic.,Layer in any order. More stable and less sensitizing brightening combo than kojic acid.
Kojic Dipalmitate,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult both,None – the ester form is more stable at vitamin C pH than free kojic acid.,Complementary brightening pathways. Stable combination.,Apply vitamin C serum then kojic dipalmitate product. Less risk of instability than free kojic acid.
4-Butylresorcinol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult,,4-n-Butylresorcinol (one of most potent tyrosinase inhibitors known; 10x kojic acid) + niacinamide melanosome blocker. Excellent targeted brightening.,Layer in any order. Highly potent brightening combination; used in Clinique 50x Spot Serum.
4-Butylresorcinol,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult both,,Potent tyrosinase inhibitor + vitamin C antioxidant brightening. Very strong anti-pigmentation combination.,"Apply vitamin C serum, then 4-butylresorcinol product."
4-Butylresorcinol,AHA (Glycolic Acid),synergistic,Glycolic Acid first,15,PM,yes,moderate,caution,yes,moderate,hyperpigmentation|texture|dullness enhanced,adult|mature,consult both,,AHA surface exfoliation + 4-butylresorcinol tyrosinase inhibition. Exfoliate existing pigment while blocking new formation.,"Apply AHA, wait 15 min, then 4-butylresorcinol product."
Hexylresorcinol,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Hexylresorcinol (SepWhite) tyrosinase inhibition + vitamin C antioxidant + tyrosinase inhibition. Complementary anti-pigmentation.,Apply vitamin C serum then hexylresorcinol product. Strong brightening combination.
Hexylresorcinol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult,,Hexylresorcinol tyrosinase inhibitor (also antimicrobial) + niacinamide melanosome blocker. Dual-pathway brightening.,Layer in any order. Comprehensive brightening + barrier improvement.
Hexylresorcinol,AHA (Glycolic Acid),synergistic,Glycolic Acid first,15,PM,yes,moderate,moderate,yes,moderate,hyperpigmentation|texture|dullness enhanced,adult|mature,consult both,,AHA removes surface pigmented cells; hexylresorcinol prevents new melanin synthesis.,Apply AHA first; wait 15 min; then hexylresorcinol product.
Ellagic Acid,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Ellagic acid (pomegranate/raspberry-derived) tyrosinase inhibitor + vitamin C antioxidant brightening. Complementary natural brightening.,"Apply vitamin C serum, then ellagic acid-containing product."
Ellagic Acid,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult,,Ellagic acid inhibits melanin polymerization; niacinamide blocks melanosome transfer. Different brightening pathways.,"Layer in any order. Natural brightening duo, particularly good for melasma."
Ellagic Acid,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|barrier|aging enhanced,all,consult,,Ellagic acid brightening/antioxidant + ceramide barrier repair. Both natural-origin compatible.,Layer in any order. Natural brightening + barrier protocol.
Thiamidol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult,,Thiamidol (isobutylamido thiazolyl resorcinol) is the most potent known tyrosinase inhibitor + niacinamide melanosome blocker. Eucerin's top brightening combination.,Layer in any order. Highly potent brightening combination referenced in Eucerin research.
Thiamidol,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Thiamidol potent tyrosinase inhibition + vitamin C antioxidant + secondary tyrosinase inhibition. Very strong anti-pigmentation.,"Apply vitamin C serum, then thiamidol product."
Thiamidol,AHA (Glycolic Acid),synergistic,Glycolic Acid first,20,PM,yes,moderate,moderate,yes,moderate,hyperpigmentation|texture enhanced,adult|mature,consult both,,AHA removes existing surface pigmentation + thiamidol prevents new formation. Complete pigmentation protocol.,"Apply AHA, wait 20 min, then thiamidol serum/cream."
Thiamidol,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|barrier enhanced,all,consult,,Thiamidol active brightening + ceramide barrier reinforcement. Very stable combination.,Layer in any order. Brightening + barrier protocol.
Nonapeptide-1,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness enhanced,all,consult,,Nonapeptide-1 (Melanostatine) blocks α-MSH melanocyte stimulation; niacinamide blocks melanosome transfer. Different pigmentation cascade targets.,Layer in any order. Upstream + downstream brightening combination.
Nonapeptide-1,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Nonapeptide MSH inhibition + vitamin C antioxidant/tyrosinase inhibition. Multi-step melanogenesis disruption.,Apply vitamin C then nonapeptide-containing product. Comprehensive brightening AM routine.
Nonapeptide-1,Alpha Arbutin,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness enhanced,all,consult both,,Nonapeptide upstream MSH inhibition + alpha arbutin downstream tyrosinase inhibition. Complete melanogenesis cascade interruption.,Layer in any order. Highly effective multi-step anti-pigmentation combination.
Dioic Acid,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult,,Dioic acid (Sym White 377) tyrosinase inhibitor + niacinamide melanosome blocker. Both function optimally at similar pH.,Layer in any order. Effective stable brightening combination.
Dioic Acid,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Dioic acid tyrosinase inhibition + vitamin C antioxidant brightening. Complementary mechanisms.,"Apply vitamin C first, then dioic acid product."
Dioic Acid,AHA (Glycolic Acid),synergistic,Glycolic Acid first,20,PM,yes,moderate,moderate,yes,moderate,hyperpigmentation|texture enhanced,adult|mature,consult both,,AHA surface exfoliation removes existing pigment; dioic acid inhibits new synthesis. Complete anti-pigmentation approach.,"Apply AHA, wait 20 min, then dioic acid product."
Undecylenoyl Phenylalanine,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness|barrier enhanced,all,consult,,Sepiwhite (undecylenoyl phenylalanine) decreases α-MSH production + niacinamide blocks melanosome transfer. Different pigmentation cascade targets.,Layer in any order. Effective brightening combination.
Undecylenoyl Phenylalanine,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,MSH reduction via Sepiwhite + vitamin C antioxidant/tyrosinase inhibition. Complementary anti-pigmentation.,"Apply vitamin C serum, then Sepiwhite-containing product."
Resorcinol,Niacinamide,synergistic,either,0,both,yes,yes,caution,yes,moderate,hyperpigmentation|acne|dullness enhanced,adult|mature,consult (resorcinol),,Resorcinol tyrosinase inhibitor/keratolytic + niacinamide melanosome blocker. Effective though resorcinol can be sensitizing.,Layer in any order. Monitor skin for sensitization as resorcinol is an older but effective ingredient.
Resorcinol,AHA (Glycolic Acid),caution,Glycolic Acid first,20,PM,moderate,caution,no,moderate,moderate,hyperpigmentation|texture - sensitization risk,adult|mature,consult both,Double sensitization risk. Both can cause contact dermatitis.,Both brightening/exfoliating.,Use sparingly and never together on sensitive skin. Apply AHA first; wait 20 min; then resorcinol at low concentration.
Turmeric Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|redness|barrier|antioxidant enhanced,all,yes,,Curcumin in turmeric inhibits NF-κB inflammation and tyrosinase; niacinamide brightens and supports barrier. Complementary anti-inflammatory brightening.,Layer in any order. Excellent anti-inflammatory brightening combination.
Turmeric Extract,Ascorbic Acid,synergistic,Vitamin C first,0,AM,yes,yes,moderate,yes,yes,hyperpigmentation|dullness|antioxidant enhanced,adult|mature,consult (AA),,Curcumin + vitamin C – complementary antioxidant and brightening pathways. Note: curcumin is yellow so may stain at high concentration.,"Apply vitamin C serum, then turmeric-containing product."
Turmeric Extract,Retinol,synergistic,Retinol first,0,PM,yes,yes,moderate,yes,yes,aging|hyperpigmentation|anti-inflammatory enhanced,adult|mature,no (retinol),,Curcumin anti-inflammatory soothes retinol irritation; also independently anti-aging via NF-κB pathway.,"Apply retinol, then turmeric-containing moisturizer."
Turmeric Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|redness|barrier enhanced,all,yes,,Turmeric anti-inflammatory brightening + ceramide barrier repair. Both soothing and nourishing for compromised skin.,Layer in any order. Anti-inflammatory brightening + barrier protocol.
Bakuchiol,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,aging|hyperpigmentation|barrier|texture enhanced,all,yes,,Bakuchiol retinol-mimic anti-aging + niacinamide brightening/barrier. Both safe for sensitive and pregnant skin.,Layer in any order. Excellent pregnancy-safe anti-aging + brightening combination.
Bakuchiol,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,aging|barrier|texture enhanced,all,yes,,Bakuchiol anti-aging cell renewal + ceramide barrier repair. Unlike retinol this combination is safe for all skin types.,Layer in any order. Safe for sensitive skin anti-aging + barrier protocol.
Bakuchiol,Alpha Arbutin,synergistic,either,0,both,yes,yes,yes,yes,yes,aging|hyperpigmentation|dullness enhanced,all,yes (both),,Bakuchiol retinol-mimic + alpha arbutin tyrosinase inhibitor. Pregnancy-safe comprehensive anti-aging brightening duo.,"Layer in any order. Pregnancy-safe anti-aging + brightening, highly recommended."
Bakuchiol,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,aging|dryness|texture enhanced,all,yes,,Bakuchiol anti-aging + HA deep hydration. Very compatible; HA provides moisture to support bakuchiol cell renewal.,"Layer in any order. Gentle anti-aging hydration combination, pregnancy-safe."
Bakuchiol,Tranexamic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,aging|hyperpigmentation|redness enhanced,all,yes (both),,Bakuchiol cell renewal + tranexamic acid anti-pigmentation. Both pregnancy-safe actives with complementary mechanisms.,Layer in any order. Excellent pregnancy-safe anti-aging + brightening combination.
Tranexamic Acid,Alpha Arbutin,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|dullness enhanced,all,consult (arbutin),,TXA inhibits plasminogen activator (melanocyte signal); alpha arbutin inhibits tyrosinase. Completely different pathways synergize.,Layer in any order. Multi-pathway brightening; highly effective for melasma.
Tranexamic Acid,Retinol,neutral,separate AM/PM,0,use separately,moderate,moderate,moderate,moderate,yes,aging|hyperpigmentation - complementary routines,adult|mature,consult (TXA); no (retinol),No direct conflict. TXA works optimally separately for best stability.,TXA brightening + retinol anti-aging used in separate routines is most effective approach.,TXA AM or PM; retinol PM. Combined routines are safe but TXA works best at its own step.
Tranexamic Acid,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|barrier enhanced,all,consult (TXA),,TXA brightening + ceramide barrier. No conflict; TXA at physiological pH compatible with ceramide products.,Layer in any order. Brightening + barrier combination.
Azelaic Acid,Retinol,caution,separate AM/PM,0,use separately,moderate,caution,caution,moderate,yes,acne|aging|hyperpigmentation - separate routines,adult|mature,no (retinol),Both exfoliating and cell-turnover-promoting. Double irritation and barrier disruption risk when combined.,Both highly effective independently. Separate routines maximize safety.,"Azelaic acid AM; retinol PM. Can be combined on tolerant skin with careful, graduated introduction."
Azelaic Acid,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,acne|hyperpigmentation|redness|barrier enhanced,all,yes (AA),,Azelaic acid multi-functional (brightening + anti-acne + anti-redness) + ceramide barrier repair. Both can soothe and repair together.,Layer in any order. Excellent for sensitive/acne skin with barrier compromise.
Azelaic Acid,Salicylic Acid,caution,Salicylic Acid first,15,PM,yes,caution,caution,moderate,moderate,acne|hyperpigmentation - use with caution,adult|mature,consult (SA); yes (AA),Double exfoliating actives. Both keratolytic. Irritation risk especially on sensitive skin.,Both anti-acne/anti-hyperpigmentation. Combination used in acne protocols.,Use at low concentrations only. BHA first then AA. Not for sensitive skin. Monitor closely.
Azelaic Acid,Hyaluronic Acid,synergistic,Azelaic Acid first,15,both,yes,yes,yes,yes,yes,acne|hyperpigmentation|redness|dryness enhanced,all,yes (AA),,Azelaic acid active treatment + HA deep hydration. Essential hydration buffer to offset AA dryness.,"Apply azelaic acid, wait 15 min, then HA serum. Prevents dehydration from AA use."
Azelaic Acid,Tranexamic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,hyperpigmentation|redness|acne enhanced,all,yes (both),,Azelaic acid multi-pathway (tyrosinase + anti-inflammatory + anti-acne) + TXA anti-pigmentation different pathway. Both pregnancy-safe.,Layer in any order. Two pregnancy-safe powerhouses for melasma and PIH.
MSM (Methylsulfonylmethane),Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,redness|barrier|sensitivity|anti-inflammatory enhanced,all,yes,,MSM provides bioavailable sulfur for collagen synthesis and reduces inflammation; niacinamide barrier and brightening support.,Layer in any order. Anti-inflammatory collagen support + barrier combination.
MSM (Methylsulfonylmethane),Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|redness|sensitivity enhanced,all,yes,,MSM anti-inflammatory + ceramide structural barrier repair. Both anti-inflammatory soothing combination.,Layer in any order. Excellent for sensitized or rosacea-adjacent skin.
MSM (Methylsulfonylmethane),Retinol,neutral,Retinol first,0,PM,yes,yes,moderate,yes,yes,aging|collagen|anti-inflammatory enhanced,adult|mature,no (retinol),,MSM supports collagen biosynthesis providing sulfur substrate; retinol drives fibroblast activation. Synergistic collagen support.,"Apply retinol, then MSM-containing moisturizer."
Green Tea Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,aging|redness|antioxidant|barrier|hyperpigmentation enhanced,all,yes,,EGCG antioxidant + anti-inflammatory + niacinamide barrier/brightening. Both anti-aging and anti-inflammatory active.,Layer in any order. Classic comprehensive daily treatment.
Green Tea Extract,Retinol,synergistic,Retinol first,0,PM,yes,yes,moderate,yes,yes,aging|antioxidant|redness enhanced,adult|mature,no (retinol),,EGCG antioxidant reduces retinol oxidative stress and has independent anti-aging activity (SIRT1 activation).,"Apply retinol, then green tea-containing moisturizer or serum."
Green Tea Extract,Ceramide NP,synergistic,either,0,both,yes,yes,yes,yes,yes,barrier|antioxidant|redness|aging enhanced,all,yes,,EGCG anti-inflammatory + ceramide barrier repair. Complementary anti-inflammatory barrier combination.,Layer in any order. Anti-inflammatory barrier + antioxidant protocol.
Green Tea Extract,Salicylic Acid,synergistic,Salicylic Acid first,0,both,yes,moderate,moderate,yes,moderate,acne|redness|antioxidant|pores enhanced,teen|adult|mature,consult (SA),,BHA exfoliates pores; EGCG reduces post-BHA inflammation and provides antioxidant protection.,Apply BHA toner then green tea containing serum/toner. Excellent acne + antioxidant combination.
Neem Extract,Niacinamide,synergistic,either,0,both,yes,caution,moderate,yes,moderate,acne|redness|barrier|antimicrobial enhanced,teen|adult|mature,consult,,Neem anti-inflammatory + antimicrobial (azadirachtin) + niacinamide barrier/brightening/sebum regulation. Complementary acne treatment.,Layer in any order. Natural antimicrobial + barrier brightening combination.
Neem Extract,Salicylic Acid,synergistic,Salicylic Acid first,0,PM,yes,caution,caution,yes,moderate,acne|pores|antimicrobial enhanced,teen|adult|mature,consult (SA),,BHA exfoliates acne pores; neem antimicrobial/anti-inflammatory controls P. acnes and reduces inflammation.,Apply BHA toner then neem serum/oil. Strong anti-acne combination.
Neem Extract,Ceramide NP,synergistic,Ceramide first,0,both,yes,caution,moderate,yes,moderate,acne|barrier|antimicrobial enhanced,teen|adult|mature,consult,,Ceramide barrier repair + neem antimicrobial. Acne control without excessive barrier disruption.,"Ceramide moisturizer first, then neem spot treatment or serum."
Seaweed Extract,Niacinamide,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|barrier|antioxidant|aging enhanced,all,yes,,Seaweed polysaccharides deeply moisturize and provide minerals; niacinamide brightens and strengthens barrier. Compatible at neutral pH.,Layer in any order. Marine hydration + barrier brightening combination.
Seaweed Extract,Hyaluronic Acid,synergistic,either,0,both,yes,yes,yes,yes,yes,dryness|aging|barrier enhanced,all,yes,,Seaweed fucoidans + HA for multi-molecular-weight marine deep moisture combination.,Layer in any order. Marine moisture stack.
